STATE MEDICAL MJ LAW STATUS AT TIME OF INTERVIEW,WEIGHT IN POUNDS - RECODE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
1 - In State where MJ approvd for med use before intvw,100,0.002680441936086261,0.00026553811225995725,0.002196694702213853,0.0032703688760646037,0.43735722871637456,0.03818220600966825,0.362726137563008,0.5149361004684889,0.005697433147561305,0.0005647160209537441,0.004668443566625054,0.00695164222285684,699700.662561746,277.0,67874.3748654348
1 - In State where MJ approvd for med use before intvw,101,0.00040188101714600416,8.49686358147085e-05,0.00026281756623771615,0.0006144812460465883,0.30089095171950114,0.07440638838862733,0.17457834820245405,0.4668992521771874,0.0008542211631737475,0.0001821931466952195,0.0005565321084969068,0.001310935247600742,104906.73578202,33.0,22026.25501975076
1 - In State where MJ approvd for med use before intvw,102,0.00040751938632239705,8.836358869058213e-05,0.0002636264925209529,0.0006299025677006737,0.4603246762090602,0.07273326097907076,0.3214547038670334,0.6056404164900095,0.0008662058404059928,0.00018625804043405044,0.0005623682195646289,0.0013339824565146844,106378.57167422,45.0,23070.81845149081
1 - In State where MJ approvd for med use before intvw,103,0.0007970872592834132,0.00011962866123417888,0.0005896223178093859,0.0010774722667749655,0.4435193370319639,0.06500469087544415,0.319536119190419,0.5749612693620241,0.001694254709046592,0.000257562987656067,0.0012483557759089595,0.0022990572007913876,208071.093028214,69.0,31109.66044271788
1 - In State where MJ approvd for med use before intvw,104,0.0007493751434951059,0.0001815741021359366,0.000460580884151014,0.001219028858043773,0.5886896426310734,0.07698527585129596,0.430439135616515,0.7305001982707744,0.0015928398690633401,0.00038419690417364606,0.0009810702005839274,0.0025851059277916958,195616.35615074,57.0,47617.94092570178
1 - In State where MJ approvd for med use before intvw,105,0.0024018301237867697,0.000342669542596945,0.0018032298808781685,0.0031985049930546355,0.494302248969478,0.04377613415740171,0.40744313137732063,0.5815066722898657,0.005105227752873671,0.0007337038462903562,0.0038244241754239313,0.006812040570580967,626972.032614953,204.0,89332.13700573331
1 - In State where MJ approvd for med use before intvw,106,0.0007762962350613515,0.00018885304651846028,0.00047619323906262617,0.0012652885145847325,0.6337216184173963,0.07601253746729864,0.4726441842624734,0.7695842027956007,0.0016500621940065225,0.0004025637054872692,0.0010106741060769491,0.0026928593766554795,202643.81880613,55.0,48842.11783807058
1 - In State where MJ approvd for med use before intvw,107,0.0007195469760805737,0.00013493991379224122,0.0004936873215241067,0.0010486279646494485,0.46660671075462784,0.06207203020667778,0.34644376873080085,0.5907733968648937,0.0015294383875872294,0.0002926947851666003,0.0010412423649487313,0.002246014950422837,187830.032477031,64.0,34969.20775366616
1 - In State where MJ approvd for med use before intvw,108,0.0013200789628895744,0.0002244790004654281,0.0009380685000031806,0.001857366668356507,0.5312842674289825,0.05890667194713286,0.4134237845000599,0.6457548903664111,0.0028059035860135014,0.0004869038876590414,0.001979869458032039,0.003975200038316873,344592.476536277,88.0,58458.00723786329
1 - In State where MJ approvd for med use before intvw,109,0.0003010320810168792,6.731475467443179e-05,0.00019210654970448865,0.0004716898844561824,0.3200870173246879,0.0608772776744717,0.21161475557291543,0.4522647175421828,0.000639860962393827,0.00014346736231214067,0.00040782684858046357,0.0010037789009865357,78581.200996802,41.0,17634.253155323575
1 - In State where MJ approvd for med use before intvw,110,0.005360913783765953,0.0004309553041733778,0.004561278415274024,0.006299845634514226,0.5155377819327933,0.028118041400502728,0.45910301791683905,0.5715790382965836,0.011394929873930874,0.0009030622701202031,0.00971672921604984,0.0133590667054866,1399409.133224634,465.0,114462.9718229006
1 - In State where MJ approvd for med use before intvw,111,0.00043552383909050226,0.00013482285219906855,0.00023385497161768708,0.0008109642621814729,0.3708434092749663,0.07537415473529266,0.23550733458271492,0.5300312616376658,0.0009257309117504903,0.00028779598582606155,0.0004957164774575259,0.001728120912723528,113688.83416964,41.0,35100.309441373145
1 - In State where MJ approvd for med use before intvw,112,0.0015696371214308296,0.00020514403227932463,0.00120717836013187,0.002040702807640637,0.5361086256564649,0.04118974507831197,0.4531437127743174,0.6171217985265113,0.003336353772445575,0.00043542301206979394,0.0025667450609509488,0.004335717645177844,409736.96130507,109.0,53595.531375587794
1 - In State where MJ approvd for med use before intvw,113,0.0009532685209257045,0.00014957278200125026,0.0006955483251082792,0.0013063564557505198,0.4605911093820118,0.07291456092502459,0.3213798057459938,0.6062345608417444,0.002026226942852181,0.0003209644668426902,0.0014739073320846916,0.0027849408948410546,248840.538834752,77.0,38262.31572918989
1 - In State where MJ approvd for med use before intvw,114,0.0007535077123220966,0.00019789243701915453,0.0004445871723247587,0.0012768069021329724,0.4172036050971381,0.07688366982250784,0.27500397197799004,0.5746511699027607,0.001601623881245247,0.00041726832001986937,0.0009488976755652422,0.0027021319391782182,196695.11898734502,63.0,52580.699462116885
1 - In State where MJ approvd for med use before intvw,115,0.005273832257886558,0.0003567467461085255,0.004603616180640854,0.006041029372467484,0.5082739099642096,0.023892373900696765,0.46035566750920626,0.5560406059578855,0.01120983309365519,0.0007511965432805674,0.00979718331115196,0.012823534114110465,1376677.433449907,432.0,90020.70014512708
1 - In State where MJ approvd for med use before intvw,116,0.001205090525903149,0.0001673906365277233,0.000911664716465887,0.001592806966901134,0.48489061114247806,0.05435860101169343,0.3781083725372061,0.5930704370711518,0.002561489064791191,0.0003621942087224687,0.0019280021721912732,0.003402412237308254,314575.97647218,84.0,42958.04318257492
1 - In State where MJ approvd for med use before intvw,117,0.0013619695877775382,0.00021601903478857794,0.0009903431996346516,0.0018727873921050883,0.48053540012644474,0.06311212242322818,0.3576163185421485,0.6058568458445885,0.002894944513032135,0.00045505478411253964,0.002110892765738427,0.003969059338306289,355527.5755565643,102.0,56765.27307144789
1 - In State where MJ approvd for med use before intvw,118,0.001851540058290026,0.00027544096432281616,0.0013731989095668558,0.0024960904404516845,0.4956697629461374,0.049911949751704654,0.39691024374933015,0.5947683453322377,0.003935554641240213,0.0005916531589139456,0.0029093536876414767,0.00532179010480381,483324.70407351997,152.0,71350.97297161935
1 - In State where MJ approvd for med use before intvw,119,0.0008753971214103092,0.0001762417731812956,0.0005841956646854544,0.0013115620044214485,0.5082987863100302,0.07419750128872993,0.36283364151475606,0.6523721629257666,0.0018607068146699588,0.0003704185805632701,0.0012472900689513317,0.002774963473832215,228513.04391610099,64.0,46492.18884493022
1 - In State where MJ approvd for med use before intvw,120,0.009047372854075149,0.0007518953235861377,0.0076555408682464346,0.010689524033795085,0.4804141643292799,0.024345554420679042,0.43185617836378265,0.5293450073443056,0.01923071016879331,0.001565583689342612,0.016325720833507144,0.02264071413364273,2361719.795237457,696.0,202025.28107154567
1 - In State where MJ approvd for med use before intvw,121,0.0009557500467256225,0.00018422631365991532,0.0006488955916137112,0.0014075076901811877,0.5131395773535387,0.07046452100774309,0.37426814077939274,0.6500116167525464,0.002031501568337867,0.0003880681853131566,0.0013839714188914973,0.0029810925828712086,249488.31457016,73.0,48975.899001271486
1 - In State where MJ approvd for med use before intvw,122,0.0012657498350353894,0.0003011225397043271,0.0007848232720192133,0.002040778247694599,0.5493113932120303,0.07240191996835298,0.4038331678701758,0.6868204783140819,0.0026904239071787166,0.000640312549508778,0.0016676298686247595,0.004337794349078662,330410.43952059,61.0,78195.65026748623
1 - In State where MJ approvd for med use before intvw,123,0.0016983851674159155,0.0003281825971971374,0.0011519390545317771,0.0025033996199150393,0.5571265196699393,0.05926752357345795,0.43709530270016933,0.670837534068339,0.003610015132165314,0.000694499126254703,0.002452392433371792,0.005311170484550682,443345.25994661,116.0,86164.3329991694
