STATE MEDICAL MJ LAW STATUS AT TIME OF INTERVIEW,WEIGHT IN POUNDS - RECODE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
In State where MJ approvd for med use before intvw,100,0.002254525265144071,0.0004021469975322722,0.0015777686899758852,0.003220628490336772,0.4128474534950829,0.044589669941787966,0.32735860519567594,0.5039356996196871,0.006884858036161454,0.0012320742093096934,0.004811298416238044,0.009843235444613494,578958.22,210.0,103044.53159729244
In State where MJ approvd for med use before intvw,101,0.00017865730732999292,5.6024069612168126e-05,9.540961002018814e-05,0.0003345167742880885,0.2241226263762466,0.06626367971779382,0.11877933819170883,0.38235563005768397,0.0005455827961241614,0.00016977553500810647,0.0002927476837311151,0.0010165599959752756,45878.89,28.0,14408.779799625643
In State where MJ approvd for med use before intvw,102,0.00035861750498463124,6.418471192472107e-05,0.00025069228096274916,0.0005129816432877717,0.3337178836023011,0.05585600764535524,0.23256096889148983,0.4529080430882821,0.0010951443522385323,0.00019487752543315772,0.0007671119848731837,0.0015632304474081642,92092.36,55.0,16453.760824540997
In State where MJ approvd for med use before intvw,103,0.00027178666785197055,9.55734330470966e-05,0.00013449962004755825,0.000549128998035207,0.29387786432531193,0.07707879749110269,0.16525813410423856,0.46664110465685044,0.0008299807738737438,0.0002932332560100616,0.00040933285705018515,0.0016821769838421068,69794.35,50.0,24569.47349769018
In State where MJ approvd for med use before intvw,104,0.00033492583579539125,0.00010696755909496146,0.00017679739755566118,0.0006343953668133165,0.34565329280849577,0.08701578543440046,0.1965869793361059,0.5327932874193713,0.001022794850758364,0.0003256236223923591,0.0005409336395392554,0.0019330656266054616,86008.38,43.0,27517.19531439206
In State where MJ approvd for med use before intvw,105,0.001570126572687542,0.00020316965541662167,0.0012120041320959163,0.002033851393398299,0.31930448787236154,0.035010479788758646,0.2536618281679095,0.3929895349309958,0.004794844714711,0.0006296231602564662,0.003686673485186776,0.006234035082320221,403205.81,178.0,51795.01126040133
In State where MJ approvd for med use before intvw,106,0.0006344840676959304,0.00011908478482615648,0.00043586888119195264,0.0009235198993037307,0.39560565976811235,0.07050980195907593,0.26625917304074836,0.5414217930486066,0.0019375842887321049,0.0003606338067525087,0.0013351134569948113,0.0028111552048583357,162934.42,57.0,30777.288098446883
In State where MJ approvd for med use before intvw,107,0.00043716756249371873,6.5321685245895e-05,0.00032421725725455486,0.0005894441180668197,0.33521019873282626,0.05257764195565074,0.239274499537961,0.4470084903811572,0.0013350201269940777,0.00019702209971053362,0.0009937096177135198,0.0017933504792293636,112263.88,62.0,16836.610045932644
In State where MJ approvd for med use before intvw,108,0.0010572696026380733,0.00022688709842395106,0.0006882153214752599,0.0016239070064356814,0.42591184707038615,0.069429982382398,0.2959739054644542,0.5669561553100334,0.0032286846515542627,0.0007003881102997876,0.0020915206150794114,0.004981040975846997,271505.02,81.0,58402.15452679122
In State where MJ approvd for med use before intvw,109,0.0005883730509020383,0.00017336868737946568,0.00032631823483585164,0.0010606516843370425,0.354172607412255,0.08878882540313394,0.20145709345826635,0.5438164424514232,0.0017967706950957005,0.0005271107136468921,0.0009989157077888366,0.0032298289327258485,151093.19,49.0,44646.98687276332
